pair	group_type	group	quantizer	pairs	numel	changed	changed_fraction	mean_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	mean_scale_ratio	top1_delta
ckpt10->phase2s	module	features.7.1.mlp.fc2	lsq_weight	1	2359296	120057	0.05088678995768229	0.050886791199445724	0.301622599363327	0.31842169165611267	0.050886791199445724	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.7.1.mlp|mlp_fc2	lsq_weight	1	2359296	120057	0.05088678995768229	0.050886791199445724	0.301622599363327	0.31842169165611267	0.050886791199445724	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.7.1|mlp_fc2	lsq_weight	1	2359296	120057	0.05088678995768229	0.050886791199445724	0.301622599363327	0.31842169165611267	0.050886791199445724	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.7.1.attn.proj	lsq_weight	1	589824	29751	0.050440470377604164	0.0504404716193676	0.3014797568321228	0.3185492753982544	0.0504404716193676	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.7.1.attn|attn_proj	lsq_weight	1	589824	29751	0.050440470377604164	0.0504404716193676	0.3014797568321228	0.3185492753982544	0.0504404716193676	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.7.1|attn_proj	lsq_weight	1	589824	29751	0.050440470377604164	0.0504404716193676	0.3014797568321228	0.3185492753982544	0.0504404716193676	1.0	-0.02599999999999625
ckpt10->phase2s	kind	attn_proj	lsq_weight	2	737280	34397	0.04665391710069444	0.04665391817688942	0.29039848744869234	0.30609403252601625	0.04665391817688942	1.0	-0.02599999999999625
ckpt10->phase2s	kind	mlp_fc2	lsq_weight	2	2949120	129428	0.04388699001736111	0.0438869908452034	0.2811357259750366	0.2954400032758713	0.0438869908452034	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.7.1.mlp.fc1	lsq_weight	1	2359296	91302	0.038698832194010414	0.03869883343577385	0.24885007739067078	0.2577853798866272	0.03869883343577385	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.7.1.mlp|mlp_fc1	lsq_weight	1	2359296	91302	0.038698832194010414	0.03869883343577385	0.24885007739067078	0.2577853798866272	0.03869883343577385	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.7.1|mlp_fc1	lsq_weight	1	2359296	91302	0.038698832194010414	0.03869883343577385	0.24885007739067078	0.2577853798866272	0.03869883343577385	1.0	-0.02599999999999625
ckpt10->phase2s	kind	mlp_fc1	lsq_weight	2	2949120	112092	0.038008626302083334	0.03800862729549408	0.2478003591299057	0.25646770000457764	0.03800862729549408	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.5.5.mlp.fc1	lsq_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2436014860868454	0.2511969804763794	0.035247802734375	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.5.5.mlp|mlp_fc1	lsq_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2436014860868454	0.2511969804763794	0.035247802734375	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.5.5|mlp_fc1	lsq_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2436014860868454	0.2511969804763794	0.035247802734375	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.5.5.attn.proj	lsq_weight	1	147456	4646	0.03150770399305555	0.0315077044069767	0.2460734099149704	0.2562730610370636	0.0315077044069767	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.5.5.attn|attn_proj	lsq_weight	1	147456	4646	0.03150770399305555	0.0315077044069767	0.2460734099149704	0.2562730610370636	0.0315077044069767	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.5.5|attn_proj	lsq_weight	1	147456	4646	0.03150770399305555	0.0315077044069767	0.2460734099149704	0.2562730610370636	0.0315077044069767	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.7.1.attn.qkv	lsq_weight	1	1769472	47961	0.027104695638020832	0.02710469625890255	0.21435829997062683	0.2205488383769989	0.02710469625890255	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.7.1.attn|attn_qkv	lsq_weight	1	1769472	47961	0.027104695638020832	0.02710469625890255	0.21435829997062683	0.2205488383769989	0.02710469625890255	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.7.1|attn_qkv	lsq_weight	1	1769472	47961	0.027104695638020832	0.02710469625890255	0.21435829997062683	0.2205488383769989	0.02710469625890255	1.0	-0.02599999999999625
ckpt10->phase2s	kind	attn_qkv	lsq_weight	2	2211840	59461	0.02688304759837963	0.026883048191666602	0.21460187435150146	0.2208803504705429	0.026883048191666602	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.5.5.attn.qkv	lsq_weight	1	442368	11500	0.025996455439814815	0.025996455922722816	0.215576171875	0.22220639884471893	0.025996455922722816	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.5.5.attn|attn_qkv	lsq_weight	1	442368	11500	0.025996455439814815	0.025996455922722816	0.215576171875	0.22220639884471893	0.025996455922722816	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.5.5|attn_qkv	lsq_weight	1	442368	11500	0.025996455439814815	0.025996455922722816	0.215576171875	0.22220639884471893	0.025996455922722816	1.0	-0.02599999999999625
ckpt10->phase2s	module	features.5.5.mlp.fc2	lsq_weight	1	589824	9371	0.015887790256076388	0.0158877894282341	0.199188232421875	0.2035132497549057	0.0158877894282341	1.0	-0.02599999999999625
ckpt10->phase2s	parent_kind	features.5.5.mlp|mlp_fc2	lsq_weight	1	589824	9371	0.015887790256076388	0.0158877894282341	0.199188232421875	0.2035132497549057	0.0158877894282341	1.0	-0.02599999999999625
ckpt10->phase2s	stage_kind	features.5.5|mlp_fc2	lsq_weight	1	589824	9371	0.015887790256076388	0.0158877894282341	0.199188232421875	0.2035132497549057	0.0158877894282341	1.0	-0.02599999999999625
ckpt10->phase2w	module	features.7.1.mlp.fc1	lsq_weight	1	2359296	71722	0.030399746365017362	0.03039974719285965	0.24885007739067078	0.2553316652774811	0.03039974719285965	1.0	-0.20399999999999352
ckpt10->phase2w	parent_kind	features.7.1.mlp|mlp_fc1	lsq_weight	1	2359296	71722	0.030399746365017362	0.03039974719285965	0.24885007739067078	0.2553316652774811	0.03039974719285965	1.0	-0.20399999999999352
ckpt10->phase2w	stage_kind	features.7.1|mlp_fc1	lsq_weight	1	2359296	71722	0.030399746365017362	0.03039974719285965	0.24885007739067078	0.2553316652774811	0.03039974719285965	1.0	-0.20399999999999352
